"ID (company, number)	",Card_Name,L_star,A_star,B_star,R,G,B
NACC48,NACC Inc 1920,41.9,10.5,-13.5,108,93,121
NACC49,NACC Inc 1920,43.7,0,6.1,107,103,93
NACC50,NACC Inc 1920,50.4,-0.2,2.5,121,120,116
NACC51,NACC Inc 1920,60,26.4,15.7,194,126,118
NACC52,NACC Inc 1920,51,-9.8,-8.9,96,127,136
NACC53,NACC Inc 1920,47.6,-13.3,-9.7,78,120,129
NACC54,NACC Inc 1920,37.5,0.2,-23.4,69,89,126
NACC55,NACC Inc 1920,20.1,3.4,-31,21,49,94
NACC56,NACC Inc 1920,14.6,4.6,-14.1,35,35,57
NACC57,NACC Inc 1920,12.5,2.9,-9.9,31,32,46
NACC58,NACC Inc 1920,11.7,1.6,-5,31,30,38
NACC59,NACC Inc 1920,14.5,4.1,0.7,43,35,36
NACC60,NACC Inc 1920,17.6,4.7,3.5,51,41,38
NACC61,NACC Inc 1920,28.9,6.9,9.4,82,64,54
NACC62,NACC Inc 1920,24.8,9.9,9.7,76,53,45
NACC63,NACC Inc 1920,14.1,3.5,1.5,41,34,34
NACC64,NACC Inc 1920,19.9,13.4,9.4,69,40,35
NACC65,NACC Inc 1920,44.6,3.7,12.4,118,103,85
NACC66,NACC Inc 1920,19.2,26.2,5.1,81,28,40
NACC67,NACC Inc 1920,37.8,2.5,3.2,95,87,84
NACC68,NACC Inc 1920,18.7,29.3,7.9,84,23,36
NACC69,NACC Inc 1920,33.7,0.6,1,81,79,78
NACC70,NACC Inc 1920,23.9,23.4,10,91,41,43
NACC71,NACC Inc 1920,21.1,7,6.3,63,47,42
NACC72,NACC Inc 1920,17.8,8.2,5.9,57,39,35
NACC73,NACC Inc 1920,26.2,32.4,16.3,108,37,39
NACC74,NACC Inc 1920,13.9,6.9,-0.8,45,32,37
NACC75,NACC Inc 1920,18.8,18.8,3.9,71,34,41
NACC76,NACC Inc 1920,14.7,-3.4,1.1,32,39,35
NACC77,NACC Inc 1920,36.9,-11.5,3.8,68,92,80
NACC78,NACC Inc 1920,15,-3.7,-2.8,30,39,42
NACC79,NACC Inc 1920,23.3,-11.7,-1.7,33,61,58
NACC80,NACC Inc 1920,20.1,-7,2.9,39,51,44
